"id","Mobility.and.transportation","Imagery.and.GIS","Climate.and.environment","History.and.epistemology","Sustainability.risk.planning","Economic.geography","Development.territory.system.of.cities","Urban.dynamics","Statistics.and.modeling","Emotional.geography"
"1",88,0,0,0,1,0,0,0,0,0,0
"2",90,0,0,0,0,0.8571428571,0,0,0.1428571429,0,0
"3",7242,0,0.2,0,0.2,0.2,0,0.2,0.2,0,0
"4",2856,0,0.6,0.2,0,0,0,0,0,0.2,0
"5",129,0,1,0,0,0,0,0,0,0,0
"6",137,0,0,0,0,0,0,0,0.5,0.5,0
"7",148,0,0.6666666667,0,0.1666666667,0,0,0,0,0.1666666667,0
"8",361,0,0.5,0,0,0,0,0,0,0.5,0
"9",153,0,0.4,0,0.4,0,0,0,0.2,0,0
"10",168,0,0.4,0,0,0,0,0.2,0.2,0.2,0
"11",194,0,0.4444444444,0,0.2222222222,0,0,0,0,0.3333333333,0
"12",213,0,0,0,1,0,0,0,0,0,0
"13",221,0,0.5,0,0.5,0,0,0,0,0,0
"14",5782,0,0,0.5,0,0,0,0.5,0,0,0
"15",4020,0,0.4,0,0,0,0,0,0,0.6,0
"16",22410,0,0,0,0.625,0.125,0,0,0.125,0.125,0
"17",22447,0,0,0,0,1,0,0,0,0,0
"18",1796,0,0,0,1,0,0,0,0,0,0
"19",6736,1,0,0,0,0,0,0,0,0,0
"20",22918,0.25,0,0,0.75,0,0,0,0,0,0
"21",333,0,0,0,0,0,0,1,0,0,0
"22",5995,0,0.1428571429,0,0,0.7142857143,0,0,0,0.1428571429,0
"23",343,0,0,0,0.4,0,0,0,0,0.6,0
"24",1590,0,0,0,0.2857142857,0.4285714286,0,0,0,0.2857142857,0
"25",1671,0,0,0,0,0,0,0.3333333333,0,0.6666666667,0
"26",373,0,0,0,0,0,0,0,0.6666666667,0.3333333333,0
"27",385,0,0,0,0,0,0,0.2,0,0.8,0
"28",393,0,0,0,0,0.1666666667,0.5,0.3333333333,0,0,0
"29",6785,0.125,0,0,0,0,0,0.25,0.375,0,0.25
"30",7058,0,0.4,0,0,0,0,0,0.6,0,0
"31",1644,0.1666666667,0.1666666667,0,0,0,0.1666666667,0.1666666667,0,0.3333333333,0
"32",1627,0,0,0,0.2,0,0,0,0.2,0.6,0
"33",554,0,0.6666666667,0,0.3333333333,0,0,0,0,0,0
"34",566,0,0,0,0,0,0,0,0.5,0.5,0
"35",4811,0,0.4,0,0,0.4,0,0,0,0.2,0
"36",4825,0,0,0,0,0,0,0,0,1,0
"37",823,0,0,0,0.6666666667,0,0,0,0,0,0.3333333333
"38",889,0,0.3333333333,0,0,0,0,0,0.3333333333,0.3333333333,0
"39",897,0,0,0,0.1428571429,0,0,0,0.1428571429,0.5714285714,0.1428571429
"40",911,0,0.5,0,0,0,0,0,0,0.5,0
"41",938,0,0,0,0,0,0,0,0.6666666667,0.3333333333,0
"42",990,0.3333333333,0.3333333333,0,0,0,0,0,0.3333333333,0,0
"43",996,0,0.25,0,0,0.75,0,0,0,0,0
"44",1008,0,0,0,0.5,0,0,0.5,0,0,0
"45",1023,0,0,0,0.4,0,0.2,0.2,0.2,0,0
"46",1035,0,0,0,0,0,0,0,0,1,0
"47",4150,0.25,0,0,0.25,0,0,0.25,0,0.25,0
"48",1059,0,0,0,1,0,0,0,0,0,0
"49",1069,0,0,0,0.25,0,0,0.5,0.25,0,0
"50",1075,0,0,0,0.75,0,0,0,0,0,0.25
"51",1088,0,0,0,0.4,0,0,0.2,0.2,0.2,0
"52",1103,0,0,0,0.4,0,0,0.2,0.2,0,0.2
"53",1114,0,0,0,1,0,0,0,0,0,0
"54",1147,0,0,0,0.6666666667,0.1666666667,0,0,0.1666666667,0,0
"55",1162,0,0,0,0.6666666667,0,0,0,0.3333333333,0,0
"56",1170,0,0,0,0,0,0,0,0.8571428571,0,0.1428571429
"57",1185,0.25,0,0,0,0,0,0,0.5,0,0.25
"58",1196,0,0,0,0.75,0,0,0,0.25,0,0
"59",1203,0.1666666667,0,0,0.5,0,0,0,0.3333333333,0,0
"60",1226,0,0,0,0,0,0,0,0,1,0
"61",1240,0,0,0,0,0.5,0,0,0.5,0,0
"62",1249,0,0,0.3333333333,0,0,0.6666666667,0,0,0,0
"63",1260,0,0,0.2,0.2,0.2,0,0.2,0.2,0,0
"64",1272,0,0.25,0,0,0.5,0,0,0,0.25,0
"65",1282,0,0,0.25,0,0.25,0,0.25,0.25,0,0
"66",1296,0,0,0.6666666667,0,0,0,0,0.3333333333,0,0
"67",1306,0,0,0.3333333333,0,0,0,0.3333333333,0.3333333333,0,0
"68",1312,0,0.5,0,0,0.5,0,0,0,0,0
"69",1318,0,0,0.5,0,0,0,0.5,0,0,0
"70",1413,0.3333333333,0.3333333333,0.3333333333,0,0,0,0,0,0,0
"71",1419,0,0,0,0,0.25,0,0.5,0.25,0,0
"72",1427,0,0,0.5,0,0.5,0,0,0,0,0
"73",1435,0.25,0,0,0,0.25,0,0.25,0.25,0,0
"74",3684,0.2,0.6,0,0,0,0,0,0,0.2,0
"75",6106,0,0.4,0.2,0.2,0.2,0,0,0,0,0
"76",1448,0,0,0.8333333333,0,0,0,0.1666666667,0,0,0
"77",1467,0,0,0.5,0.5,0,0,0,0,0,0
"78",1478,0,0,0.5,0,0,0,0.25,0.25,0,0
"79",1486,0,0,0.2,0.2,0.2,0,0.2,0.2,0,0
"80",1496,0,0,0,0,0.6666666667,0,0,0.3333333333,0,0
"81",1504,0.25,0,0.5,0,0,0,0,0.25,0,0
"82",1514,0,0,0,0,0,0,1,0,0,0
"83",4269,0,0,0,0,0,0.25,0,0,0.25,0.5
"84",1551,0,0.5,0,0,0,0,0,0,0.5,0
"85",27010,0,0,0,0,0.4,0,0,0.2,0,0.4
"86",1564,0,0.3333333333,0.3333333333,0,0,0,0,0,0.3333333333,0
"87",1546,0,0,0,0,0,0,0,0,1,0
"88",2636,0,0,0,0,0,0,0,0.1428571429,0.7142857143,0.1428571429
"89",2711,0,0.6666666667,0,0,0,0,0,0,0.3333333333,0
"90",4078,0,0.6666666667,0,0.3333333333,0,0,0,0,0,0
"91",4087,0,0,0.5,0.25,0.25,0,0,0,0,0
"92",1708,0,0,0.75,0,0.25,0,0,0,0,0
"93",3108,0,0,0,0.3333333333,0,0,0,0,0.6666666667,0
"94",1784,0,1,0,0,0,0,0,0,0,0
"95",1739,0,0,0,0.25,0.25,0,0.25,0.25,0,0
"96",1750,0,0,0,0,0,0,0,1,0,0
"97",2683,0,0,0.1428571429,0.1428571429,0,0.7142857143,0,0,0,0
"98",6470,0,0.5,0,0.5,0,0,0,0,0,0
"99",20573,0.25,0.25,0,0,0.25,0,0,0.25,0,0
"100",20563,0,0,0,0,0,0,0.3333333333,0,0,0.6666666667
"101",4056,0,0.25,0,0,0,0,0,0,0.75,0
"102",4065,0,0,0,1,0,0,0,0,0,0
"103",1808,0,0.25,0,0.75,0,0,0,0,0,0
"104",1824,0,0,0,0.2,0,0,0.2,0.4,0.2,0
"105",1836,0,0,0,0.125,0.125,0,0.25,0.25,0,0.25
"106",3925,1,0,0,0,0,0,0,0,0,0
"107",1866,0.5,0,0,0,0,0,0,0.25,0.25,0
"108",2519,0,0,0,0.2,0,0,0.4,0.4,0,0
"109",4233,0,0.6,0,0,0.2,0,0,0,0.2,0
"110",3670,0,0.2,0,0,0,0,0.2,0,0.4,0.2
"111",3669,0,0,0,0,0,0.1666666667,0,0.3333333333,0.5,0
"112",3747,0,0.4,0.2,0.2,0,0.2,0,0,0,0
"113",1931,0,0,0,0.1666666667,0,0,0.1666666667,0.5,0.1666666667,0
"114",4252,0,0.4,0,0,0.6,0,0,0,0,0
"115",5355,0.25,0.25,0,0,0.5,0,0,0,0,0
"116",3851,0,0,0,0,0,0,0.25,0.75,0,0
